#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"
270000	-704.5659689055394	291.2395821250409	1.49e+03	77.86861634254456
271000	-713.7235231568734	309.9607034883709	1.49e+03	78.15693640708923
272000	-686.6797567966888	290.74161768240907	1.49e+03	78.44555735588074
273000	-720.6989025861994	314.32353460998263	1.49e+03	78.73511123657227
274000	-725.8208033385633	304.6361366685975	1.49e+03	79.0266625881195
275000	-709.5878637081607	288.67974365260756	1.49e+03	79.3147337436676
276000	-699.6596676351938	270.8967076558335	1.49e+03	79.60253477096558
277000	-715.5045930267261	299.8517360378437	1.49e+03	79.89173483848572
278000	-692.9113403274525	290.51550634381994	1.49e+03	80.18172550201416
279000	-718.4896623810862	304.62327348748136	1.49e+03	80.47175025939941
280000	-726.2241545061561	309.9514976365308	1.49e+03	80.76438021659851
281000	-715.152074066837	292.89396439265727	1.49e+03	81.05572199821472
282000	-711.9962986304716	283.3864678484244	1.49e+03	81.34530639648438
283000	-732.2669935194308	299.5612501484316	1.49e+03	81.63453364372253
284000	-698.4848112364411	273.46053744087	1.49e+03	81.92508006095886
285000	-744.8634179806555	314.7912794344624	1.49e+03	82.2145426273346
286000	-725.3395207124008	279.9323422334073	1.49e+03	82.5056574344635
287000	-732.4923640312637	283.11502160211	1.49e+03	82.79578185081482
288000	-750.8408606389243	301.59697231734145	1.49e+03	83.0849187374115
289000	-712.7588270618604	274.3108453780155	1.49e+03	83.37387275695801
290000	-719.6513275686696	279.5441229325951	1.49e+03	83.66391515731812
291000	-749.096032113526	303.1173910694961	1.49e+03	83.95369243621826
292000	-714.1765734110492	282.57744140826225	1.49e+03	84.24349355697632
293000	-720.3212898404505	294.38318384284014	1.49e+03	84.53338766098022
294000	-760.3888584612826	336.8211291343067	1.49e+03	84.82410383224487
295000	-741.9334130678703	337.97602095819605	1.49e+03	85.11524152755737
296000	-730.3747540469872	327.30686407317603	1.49e+03	85.40442609786987
297000	-733.9030187317678	308.59517102774413	1.49e+03	85.69566941261292
298000	-741.7219115292359	298.6681037925569	1.49e+03	85.98687314987183
299000	-730.5379230522351	281.1956768979136	1.49e+03	86.27885675430298
300000	-742.7598202885762	279.8307230617488	1.49e+03	86.57132315635681
301000	-741.0554416079365	274.3012698494132	1.49e+03	86.86476755142212
302000	-768.8579309942535	301.240785702043	1.49e+03	87.15837359428406
303000	-750.7762872588087	291.16451044969335	1.49e+03	87.4521894454956
304000	-757.2972008497504	310.3872230931096	1.49e+03	87.74625706672668
305000	-718.1662429222235	280.70902073655225	1.49e+03	88.039555311203
306000	-729.8563622760042	301.5530591385698	1.49e+03	88.33200883865356
307000	-727.7629226510408	299.63172154233916	1.49e+03	88.6254014968872
308000	-737.2545169645866	286.3327917039168	1.49e+03	88.92872643470764
309000	-745.295479181421	289.25587139694926	1.49e+03	89.22256374359131
310000	-743.0813946168935	289.92088207146446	1.49e+03	89.51579475402832
311000	-729.8403639019152	280.1253265497753	1.49e+03	89.80866861343384
312000	-743.8051884171872	308.52742473906056	1.49e+03	90.10191702842712
313000	-773.3486747638902	327.48264974505946	1.49e+03	90.39362001419067
314000	-753.5470568996095	307.839827077327	1.49e+03	90.68641710281372
315000	-697.9333267370023	277.6424238974415	1.49e+03	90.98118019104004
316000	-700.6904670729341	277.44063011625485	1.49e+03	91.27312302589417
317000	-737.0785017323615	300.12418284292784	1.49e+03	91.5660150051117
318000	-719.2270407010824	294.1506231515782	1.49e+03	91.85799980163574
319000	-741.5970090398207	322.49149808406185	1.49e+03	92.14989042282104
320000	-704.6247374674025	280.5298331838021	1.49e+03	92.4423177242279
321000	-688.4020781485142	284.06610381388293	1.49e+03	92.73720145225525
322000	-753.299738018572	338.92804171469214	1.49e+03	93.02472853660583
323000	-719.4911297275088	340.37796180299426	1.49e+03	93.3110716342926
324000	-712.7415575130467	326.4123376079806	1.49e+03	93.59677767753601
325000	-714.9501923010138	320.56157567696135	1.49e+03	93.88456273078918
326000	-744.4035329113364	340.69571332243095	1.49e+03	94.17388916015625
327000	-726.3585699607049	317.9515079210277	1.49e+03	94.45913934707642
328000	-747.7002418677846	335.1439244430578	1.49e+03	94.74987697601318
329000	-708.2564345554904	302.5774478144702	1.49e+03	95.04055833816528
330000	-705.467655734831	299.4159329045496	1.49e+03	95.33008790016174
331000	-684.3659200184272	294.30173653080413	1.49e+03	95.61951017379761
332000	-698.9182938900295	305.1528926499265	1.49e+03	95.90886878967285
333000	-719.7082976207478	310.6708430066444	1.49e+03	96.1981794834137
334000	-704.9311620704916	310.31351739471097	1.49e+03	96.4858410358429
335000	-685.3672832191772	285.5248048470066	1.49e+03	96.7719943523407
336000	-681.7143317529764	307.1834903794154	1.49e+03	97.06053137779236
337000	-687.6919736691048	319.71843332187944	1.49e+03	97.34791159629822
338000	-678.1884660166345	326.34277536721567	1.49e+03	97.6365852355957
339000	-726.9232901434539	367.62843111575614	1.49e+03	97.92320227622986
340000	-657.8519642771785	320.92230007859786	1.49e+03	98.20986342430115
341000	-691.134195522061	371.4231629282576	1.49e+03	98.49455070495605
342000	-670.8792156794141	353.25032909602976	1.49e+03	98.78255128860474
343000	-688.1008399800369	354.32904217891354	1.49e+03	99.0686469078064
344000	-687.8170399616592	347.7567004900897	1.49e+03	99.35452342033386
345000	-675.0719907235798	322.5757037204625	1.49e+03	99.64121508598328
346000	-680.8707456187371	327.9493327928635	1.49e+03	99.92895889282227
347000	-683.9933623980198	335.17641942228687	1.49e+03	100.21501564979553
348000	-656.5398178277457	322.25160743803974	1.49e+03	100.50310397148132
349000	-675.0698709809154	327.2041083283923	1.49e+03	100.78986072540283
350000	-638.5721300533523	317.5755797341508	1.49e+03	101.07732629776001
351000	-646.7168288490956	308.85617766219247	1.49e+03	101.36581754684448
352000	-717.5680062287558	376.4021216630277	1.49e+03	101.65382647514343
353000	-695.3977366248889	360.292905406695	1.49e+03	101.94408178329468
354000	-688.8441750348328	355.06148057104525	1.49e+03	102.23243618011475
355000	-680.1919721215968	338.3905228492476	1.49e+03	102.5230028629303
356000	-678.632103846337	316.5937884984315	1.49e+03	102.81487345695496
357000	-736.0198503642249	360.5106266620678	1.49e+03	103.10512089729309
358000	-688.5436315933837	319.65981999747834	1.49e+03	103.39405298233032
359000	-675.7885380858112	307.5539940220807	1.49e+03	103.68364524841309
360000	-745.6945337152561	335.0146198935667	1.49e+03	103.97257280349731
361000	-738.9574782765686	322.94731073459496	1.49e+03	104.26273965835571
362000	-733.4568770786788	304.35625680598315	1.49e+03	104.55202984809875
363000	-715.4744636569458	276.49879668684605	1.49e+03	104.84152913093567
364000	-744.5930975548372	298.77435121920155	1.49e+03	105.13070321083069
365000	-746.4772812706697	311.31328136248743	1.49e+03	105.41945242881775
366000	-692.1537556928135	274.07166460657567	1.49e+03	105.70571756362915
367000	-759.1240764806116	304.39122185064656	1.49e+03	105.99317145347595
368000	-777.4526035481871	309.3959921647831	1.49e+03	106.28003120422363
369000	-748.7928531624586	303.094121996433	1.49e+03	106.56702065467834
370000	-740.5630771513295	288.09432904277577	1.49e+03	106.85735750198364
371000	-757.8656372129232	294.8493567294677	1.49e+03	107.14530086517334
372000	-753.7930794024625	284.3031130183582	1.49e+03	107.43076276779175
373000	-749.1012090372492	285.55684583260523	1.49e+03	107.71860003471375
374000	-731.1016539654033	289.1926534133075	1.49e+03	108.0064742565155
375000	-692.420740867511	258.2472184455212	1.49e+03	108.29236936569214
